run_id,date,dataset,parameters,mean_val_dice,std_val_dice,hypothesis,notes,interpretation,mean_test_dice,std_test_dice,mean_test_loss,number_of_seeds_evaluated
2026_07_17_02_26_47_1750081,2026-07-17,EMSegmentation,95841,0.8336,0.0088,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.7261,0.0058,0.5661,3
2026_07_17_02_26_40_1750082,2026-07-17,FHPsAOP,95859,0.968,0.0006,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.9674,0.0003,0.0815,3
2026_07_17_02_40_22_1750100,2026-07-17,Wbc,96003,0.9601,0.002,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.9581,0.0013,0.2073,3
2026_07_17_02_21_25_1750066,2026-07-17,AbdomenUS,95913,0.5363,0.0709,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.4635,0.0536,2.1584,3
2026_07_17_02_21_30_1750068,2026-07-17,BkaiIgh,96003,0.632,0.0122,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.6784,0.0075,0.7803,3
2026_07_17_02_30_22_1750087,2026-07-17,M2caiSeg,96147,0.2345,0.0332,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.1835,0.0263,2.2596,3
2026_07_17_02_31_14_1750088,2026-07-17,Monusac,96030,0.3468,0.0446,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.2435,0.0314,1.8715,3
2026_07_17_02_21_31_1750067,2026-07-17,Bbbc010,95841,0.884,0.0143,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.8652,0.0137,0.8884,3
2026_07_17_02_21_30_1750069,2026-07-17,BriFiSeg,95841,0.8238,0.0017,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.7904,0.0022,0.4754,3
2026_07_17_02_21_30_1750070,2026-07-17,Busi,95841,0.6561,0.0166,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.6189,0.0133,0.9808,3
2026_07_17_02_21_30_1750071,2026-07-17,CellNuclei,95985,0.8669,0.0101,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.9012,0.0059,0.457,3
2026_07_17_02_21_25_1750072,2026-07-17,ChaseDB1,95985,0.4054,0.0511,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.4428,0.0483,1.3487,3
2026_07_17_02_23_18_1750073,2026-07-17,Chuac,95841,0.2712,0.0648,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.2258,0.0766,1.4286,3
2026_07_17_02_23_21_1750074,2026-07-17,Covid19Radio,95841,0.9827,0.0005,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.9831,0.0006,0.0416,3
2026_07_17_02_23_16_1750075,2026-07-17,CovidQUEx,95841,0.7505,0.0058,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.7238,0.003,0.5394,3
2026_07_17_02_23_42_1750076,2026-07-17,CystoFluid,95985,0.7395,0.0085,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.7434,0.019,1.0725,3
2026_07_17_02_24_13_1750077,2026-07-17,Dca1,95841,0.7018,0.0048,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.7035,0.0062,0.9864,3
2026_07_17_12_58_13_1750944,2026-07-17,Deepbacs,95841,0.8047,0.0201,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.8237,0.0156,0.9223,3
2026_07_17_02_25_14_1750079,2026-07-17,Drive,95985,0.6274,0.0557,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.6347,0.0488,1.1376,3
2026_07_17_02_25_22_1750080,2026-07-17,DynamicNuclear,95841,0.9396,0.001,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.9262,0.0042,0.2165,3
2026_07_17_02_28_14_1750083,2026-07-17,Idrib,95985,0.874,0.0161,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.9022,0.0047,1.2595,3
2026_07_17_02_28_11_1750084,2026-07-17,Isic2016,95985,0.9057,0.0044,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.8889,0.005,0.4377,3
2026_07_17_02_29_11_1750085,2026-07-17,Isic2018,95985,0.871,0.0045,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.8572,0.0062,0.4766,3
2026_07_17_02_29_41_1750086,2026-07-17,Kvasir,95985,0.73,0.0135,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.6439,0.0077,1.0196,3
2026_07_17_02_32_11_1750089,2026-07-17,MosMedPlus,95841,0.7387,0.0429,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.7496,0.0368,0.5234,3
2026_07_17_02_33_14_1750090,2026-07-17,Nuclei,95985,0.1374,0.0126,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.1167,0.0127,1.5022,3
2026_07_17_02_34_45_1750091,2026-07-17,Nuset,95841,0.9489,0.0012,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.9449,0.0012,0.1585,3
2026_07_17_02_35_12_1750092,2026-07-17,Pandental,95841,0.9432,0.0012,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.9344,0.0021,0.2414,3
2026_07_17_02_35_11_1750093,2026-07-17,PolypGen,95985,0.6046,0.0226,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.5918,0.015,0.8702,3
2026_07_17_02_36_11_1750094,2026-07-17,Promise12,95841,0.8708,0.0022,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.8538,0.0103,0.4784,3
2026_07_17_02_37_13_1750095,2026-07-17,RoboTool,95985,0.787,0.0133,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.7808,0.0196,0.7031,3
2026_07_17_02_37_12_1750096,2026-07-17,TnbcNuclei,95985,0.6969,0.0146,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.6546,0.0265,1.0405,3
2026_07_17_02_38_12_1750097,2026-07-17,UltrasoundNerve,95841,0.764,0.008,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.7641,0.002,0.5679,3
2026_07_17_02_39_42_1750098,2026-07-17,USforKidney,95841,0.9667,0.0016,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.9664,0.0008,0.0832,3
2026_07_17_02_40_12_1750099,2026-07-17,UwSkinCancer,95985,0.8425,0.0233,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.7516,0.05,0.9015,3
2026_07_17_02_41_43_1750101,2026-07-17,Yeaz,95841,0.8968,0.0056,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.9223,0.0027,0.4324,3
2026_07_17_02_21_36_1750064,2026-07-17,Chaos,95877,0.8182,0.0563,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.8182,0.0563,0.7137,3
2026_07_17_02_21_25_1750062,2026-07-17,Acdc,95868,0.8475,0.0073,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.8475,0.0073,0.293,3
2026_07_17_02_21_25_1750065,2026-07-17,MmWhsMr,95904,0.5039,0.0535,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.5039,0.0535,1.116,3
2026_07_17_02_21_30_1750063,2026-07-17,Btcv,95958,0.6938,0.0243,Stable Baseline (Instance norm + Kaiming normal),Stable Baseline (Instance norm + Kaiming normal),,0.6938,0.0243,0.9573,3
2026_07_17_04_42_22_1750282,2026-07-17,EMSegmentation,51031,0.8696,0.0246,Depth-wise separable layers (14-28-56-112) does not lose much in Dice.,Depth-wise separable layers (14-28-56-112),,0.7338,0.0115,0.4811,3
2026_07_17_04_42_21_1750283,2026-07-17,FHPsAOP,51061,0.9678,0.0008,Depth-wise separable layers (14-28-56-112) does not lose much in Dice.,Depth-wise separable layers (14-28-56-112),,0.967,0.001,0.0761,3
2026_07_17_04_53_18_1750301,2026-07-17,Wbc,51313,0.956,0.001,Depth-wise separable layers (14-28-56-112) does not lose much in Dice.,Depth-wise separable layers (14-28-56-112),,0.9544,0.0008,0.1564,3
2026_07_17_04_31_42_1750267,2026-07-17,AbdomenUS,51151,0.6048,0.0134,Depth-wise separable layers (14-28-56-112) does not lose much in Dice.,Depth-wise separable layers (14-28-56-112),,0.5205,0.0105,1.2498,3
2026_07_17_04_32_42_1750269,2026-07-17,BkaiIgh,51313,0.6549,0.011,Depth-wise separable layers (14-28-56-112) does not lose much in Dice.,Depth-wise separable layers (14-28-56-112),,0.6853,0.0094,0.7725,3
2026_07_17_04_44_22_1750288,2026-07-17,M2caiSeg,51553,0.2929,0.0025,Depth-wise separable layers (14-28-56-112) does not lose much in Dice.,Depth-wise separable layers (14-28-56-112),,0.2009,0.0013,1.9571,3
2026_07_17_04_45_43_1750289,2026-07-17,Monusac,51358,0.4449,0.0644,Depth-wise separable layers (14-28-56-112) does not lose much in Dice.,Depth-wise separable layers (14-28-56-112),,0.3008,0.0446,1.6679,3
2026_07_17_04_32_12_1750268,2026-07-17,Bbbc010,51031,0.8974,0.0052,Depth-wise separable layers (14-28-56-112) does not lose much in Dice.,Depth-wise separable layers (14-28-56-112),,0.876,0.0041,0.6675,3
2026_07_17_04_33_44_1750270,2026-07-17,BriFiSeg,51031,0.8219,0.0023,Depth-wise separable layers (14-28-56-112) does not lose much in Dice.,Depth-wise separable layers (14-28-56-112),,0.7902,0.0028,0.4276,3
2026_07_17_04_34_22_1750271,2026-07-17,Busi,51031,0.6634,0.0058,Depth-wise separable layers (14-28-56-112) does not lose much in Dice.,Depth-wise separable layers (14-28-56-112),,0.6275,0.0266,0.8137,3
2026_07_17_04_34_21_1750272,2026-07-17,CellNuclei,51283,0.8796,0.0063,Depth-wise separable layers (14-28-56-112) does not lose much in Dice.,Depth-wise separable layers (14-28-56-112),,0.9104,0.0026,0.2815,3
2026_07_17_04_35_13_1750273,2026-07-17,ChaseDB1,51283,0.5468,0.0843,Depth-wise separable layers (14-28-56-112) does not lose much in Dice.,Depth-wise separable layers (14-28-56-112),,0.5751,0.074,1.0142,3
2026_07_17_04_35_21_1750274,2026-07-17,Chuac,51031,0.2735,0.1149,Depth-wise separable layers (14-28-56-112) does not lose much in Dice.,Depth-wise separable layers (14-28-56-112),,0.2355,0.1571,1.3147,3
