run_id,date,dataset,parameters,mean_val_dice,std_val_dice,hypothesis,notes,interpretation
2026_06_12_16_29_37,2026-06-12,EMSegmentation,45481,0.1667,0.0317,Depth-wise separable layers does not lose much in Dice.,emseg + no norm + ds conv 4 blocks, Validation dice hits a plateau so overfit check is discarding the training.
2026_06_12_17_19_41,2026-06-12,EMSegmentation,46697,0.8973,0.012,Depth-wise separable layers does not lose much in Dice.,emseg + batch norm + ds conv 4 blocks, The depth-wise separable convolution stragegy from the paper also holds true for EMSegmentation dataset when trained with batch normalization.
2026_06_13_12_25_23,2026-06-13,EMSegmentation,74321,0.8602,0.0358,Depth-wise separable layers does not lose much in Dice.,emseg + no norm + standard conv 3 blocks, Expected outcome as standard convolution has been used
2026_06_13_12_46_19,2026-06-13,EMSegmentation,74897,0.9153,0.005,Depth-wise separable layers does not lose much in Dice.,emseg + batch norm + standard conv 3 blocks, 5% increase in Dice with batch normalization and standard conv
2026_06_13_12_59_21,2026-06-13,EMSegmentation,12617,0.1756,0.0,Depth-wise separable layers does not lose much in Dice.,emseg + no norm + ds conv 3 blocks, Very bad dice for depth-wise separable without batch normalization.
2026_06_13_13_07_04,2026-06-13,EMSegmentation,13193,0.8592,0.0144,Depth-wise separable layers does not lose much in Dice.,emseg + batch norm + ds conv 3 blocks, when batch normalization is introduced with depth-wise separable convolution Dice is good once again.
2026_06_17_23_16_07,2026-06-18,Polyp,74321,0.3921,0.3396,Depth-wise separable layers does not lose much in Dice.,polyp + no norm + standard conv 3 blocks,
2026_06_18_00_15_42,2026-06-18,Polyp,74897,0.6433,0.0154,Depth-wise separable layers does not lose much in Dice.,polyp + batch norm + standard conv 3 blocks,
2026_06_18_01_01_14,2026-06-18,Polyp,12617,0.1273,0.1175,Depth-wise separable layers does not lose much in Dice.,polyp + no norm + ds conv 3 blocks,
2026_06_17_23_09_49,2026-06-18,BAGLS,74321,0.8849,0.0036,Depth-wise separable layers does not lose much in Dice.,bagls + no norm + standard conv 3 blocks,
2026_06_18_06_03_03,2026-06-18,Polyp,13193,0.5429,0.0138,Depth-wise separable layers does not lose much in Dice.,polyp + batch norm + ds conv 3 blocks,
2026_06_18_06_59_54,2026-06-18,Polyp,45481,0.1125,0.109,Depth-wise separable layers does not lose much in Dice.,polyp + no norm + ds conv 4 blocks,
2026_06_18_07_15_17,2026-06-18,Polyp,46697,0.5203,0.009,Depth-wise separable layers does not lose much in Dice.,polyp + batch norm + ds conv 4 blocks,
2026_06_18_06_04_09,2026-06-18,BAGLS,74897,0.9088,0.0066,Depth-wise separable layers does not lose much in Dice.,bagls + batch norm + standard conv 3 blocks,
2026_06_19_22_39_31,2026-06-19,Polyp,46841,0.5772,0.0058,Depth-wise separable layers does not lose much in Dice.,polyp + batch norm + ds conv 4 blocks,
2026_06_19_23_31_31,2026-06-20,Polyp,13337,0.6055,0.0138,Depth-wise separable layers does not lose much in Dice.,polyp + batch norm + ds conv 3 blocks,
2026_06_19_22_54_22,2026-06-20,BAGLS,46697,0.9146,0.0064,Depth-wise separable layers does not lose much in Dice.,bagls + batch norm + ds conv 4 blocks,
2026_06_20_00_41_20,2026-06-20,Polyp,75041,0.6746,0.0045,Depth-wise separable layers does not lose much in Dice.,polyp + batch norm + standard conv 3 blocks,
2026_06_20_01_36_11,2026-06-20,Polyp,45625,0.0,0.0,Depth-wise separable layers does not lose much in Dice.,polyp + no norm + ds conv 4 blocks,
2026_06_20_01_51_50,2026-06-20,Polyp,12761,0.0748,0.1296,Depth-wise separable layers does not lose much in Dice.,polyp + no norm + ds conv 3 blocks,
2026_06_20_01_06_34,2026-06-20,BAGLS,13193,0.8958,0.0096,Depth-wise separable layers does not lose much in Dice.,bagls + batch norm + ds conv 3 blocks,
2026_06_20_15_10_19,2026-06-20,Polyp,74465,0.4259,0.3689,Depth-wise separable layers does not lose much in Dice.,polyp + no norm + standard conv 3 blocks,
2026_06_20_19_19_18,2026-06-20,Polyp,46841,0.5839,0.0086,Depth-wise separable layers does not lose much in Dice.,polyp + batch norm + ds conv 4 blocks,
2026_06_20_15_23_22,2026-06-20,BAGLS,45481,0.6414,0.0103,Depth-wise separable layers does not lose much in Dice.,bagls + no norm + ds conv 4 blocks,
2026_06_20_20_26_44,2026-06-20,Polyp,13337,0.616,0.0069,Depth-wise separable layers does not lose much in Dice.,polyp + batch norm + ds conv 3 blocks,
2026_06_20_21_55_47,2026-06-20,Polyp,75041,0.6882,0.0073,Depth-wise separable layers does not lose much in Dice.,polyp + batch norm + standard conv 3 blocks,
2026_06_20_23_06_09,2026-06-20,Polyp,45625,0.1032,0.09,Depth-wise separable layers does not lose much in Dice.,polyp + no norm + ds conv 4 blocks,
2026_06_21_00_05_55,2026-06-21,Polyp,12761,0.127,0.1151,Depth-wise separable layers does not lose much in Dice.,polyp + no norm + ds conv 3 blocks,
2026_06_21_00_40_12,2026-06-21,Polyp,74465,0.6406,0.0146,Depth-wise separable layers does not lose much in Dice.,polyp + no norm + standard conv 3 blocks,
2026_06_22_00_18_19,2026-06-22,EMSegmentation,60273,0.8892,0.0062,Depth-wise separable layers does not lose much in Dice.,emseg + batch norm + ds conv 4 blocks + paper's optimization,
2026_06_22_00_34_09,2026-06-22,EMSegmentation,16529,0.8401,0.0139,Depth-wise separable layers does not lose much in Dice.,emseg + batch norm + ds conv 3 blocks + paper's optimization,
2026_06_22_00_55_55,2026-06-22,EMSegmentation,78233,0.8739,0.0112,Depth-wise separable layers does not lose much in Dice.,emseg + batch norm + standard conv 3 blocks + paper's optimization,
