Epoch 001/100 | Train Loss: 2.5187 | Val Loss: 2.4686 | Val Dice: 0.2238
Epoch 002/100 | Train Loss: 2.3952 | Val Loss: 2.4468 | Val Dice: 0.2280
Epoch 003/100 | Train Loss: 2.3046 | Val Loss: 2.3528 | Val Dice: 0.3796
Epoch 004/100 | Train Loss: 2.2325 | Val Loss: 2.1294 | Val Dice: 0.2869
Epoch 005/100 | Train Loss: 2.1739 | Val Loss: 1.9781 | Val Dice: 0.2955
Epoch 006/100 | Train Loss: 2.1063 | Val Loss: 1.9078 | Val Dice: 0.3114
Epoch 007/100 | Train Loss: 2.0460 | Val Loss: 1.8863 | Val Dice: 0.4007
Epoch 008/100 | Train Loss: 1.9818 | Val Loss: 1.9508 | Val Dice: 0.4031
Epoch 009/100 | Train Loss: 1.9132 | Val Loss: 1.8806 | Val Dice: 0.4379
Epoch 010/100 | Train Loss: 1.8401 | Val Loss: 1.7103 | Val Dice: 0.4737
Epoch 011/100 | Train Loss: 1.7753 | Val Loss: 1.6695 | Val Dice: 0.4702
Epoch 012/100 | Train Loss: 1.6972 | Val Loss: 1.6408 | Val Dice: 0.4909
Epoch 013/100 | Train Loss: 1.6291 | Val Loss: 1.5865 | Val Dice: 0.5110
Epoch 014/100 | Train Loss: 1.5577 | Val Loss: 1.5203 | Val Dice: 0.5309
Epoch 015/100 | Train Loss: 1.4786 | Val Loss: 1.4468 | Val Dice: 0.5354
Epoch 016/100 | Train Loss: 1.4105 | Val Loss: 1.4208 | Val Dice: 0.5443
Epoch 017/100 | Train Loss: 1.3578 | Val Loss: 1.3345 | Val Dice: 0.5496
Epoch 018/100 | Train Loss: 1.2940 | Val Loss: 1.2959 | Val Dice: 0.5499
Epoch 019/100 | Train Loss: 1.2343 | Val Loss: 1.2328 | Val Dice: 0.5510
Epoch 020/100 | Train Loss: 1.1768 | Val Loss: 1.1767 | Val Dice: 0.5513
Epoch 021/100 | Train Loss: 1.1304 | Val Loss: 1.1342 | Val Dice: 0.5559
Epoch 022/100 | Train Loss: 1.0884 | Val Loss: 1.0838 | Val Dice: 0.5595
Epoch 023/100 | Train Loss: 1.0477 | Val Loss: 1.0764 | Val Dice: 0.5599
Epoch 024/100 | Train Loss: 1.0146 | Val Loss: 1.0322 | Val Dice: 0.5528
Epoch 025/100 | Train Loss: 0.9796 | Val Loss: 0.9907 | Val Dice: 0.5675
Epoch 026/100 | Train Loss: 0.9530 | Val Loss: 0.9695 | Val Dice: 0.5668
Epoch 027/100 | Train Loss: 0.9274 | Val Loss: 0.9577 | Val Dice: 0.5713
Epoch 028/100 | Train Loss: 0.9071 | Val Loss: 0.9367 | Val Dice: 0.5745
Epoch 029/100 | Train Loss: 0.8865 | Val Loss: 0.9107 | Val Dice: 0.5748
Epoch 030/100 | Train Loss: 0.8649 | Val Loss: 0.8971 | Val Dice: 0.5803
Epoch 031/100 | Train Loss: 0.8441 | Val Loss: 0.8780 | Val Dice: 0.5852
Epoch 032/100 | Train Loss: 0.8290 | Val Loss: 0.8595 | Val Dice: 0.5845
Epoch 033/100 | Train Loss: 0.8183 | Val Loss: 0.8562 | Val Dice: 0.5910
Epoch 034/100 | Train Loss: 0.7966 | Val Loss: 0.8353 | Val Dice: 0.6209
Epoch 035/100 | Train Loss: 0.7793 | Val Loss: 0.8655 | Val Dice: 0.6062
Epoch 036/100 | Train Loss: 0.7700 | Val Loss: 0.8129 | Val Dice: 0.6190
Epoch 037/100 | Train Loss: 0.7599 | Val Loss: 0.8174 | Val Dice: 0.6275
Epoch 038/100 | Train Loss: 0.7406 | Val Loss: 0.7912 | Val Dice: 0.6324
Epoch 039/100 | Train Loss: 0.7279 | Val Loss: 0.8002 | Val Dice: 0.6173
Epoch 040/100 | Train Loss: 0.7166 | Val Loss: 0.7772 | Val Dice: 0.6347
Epoch 041/100 | Train Loss: 0.7090 | Val Loss: 0.7777 | Val Dice: 0.6308
Epoch 042/100 | Train Loss: 0.7015 | Val Loss: 0.7620 | Val Dice: 0.6293
Epoch 043/100 | Train Loss: 0.6956 | Val Loss: 0.7700 | Val Dice: 0.6118
Epoch 044/100 | Train Loss: 0.6873 | Val Loss: 0.7595 | Val Dice: 0.5825
Epoch 045/100 | Train Loss: 0.6791 | Val Loss: 0.7456 | Val Dice: 0.5712
Epoch 046/100 | Train Loss: 0.6708 | Val Loss: 0.7417 | Val Dice: 0.5688
Epoch 047/100 | Train Loss: 0.6635 | Val Loss: 0.7761 | Val Dice: 0.5661
Epoch 048/100 | Train Loss: 0.6585 | Val Loss: 0.7344 | Val Dice: 0.6045
Epoch 049/100 | Train Loss: 0.6461 | Val Loss: 0.7376 | Val Dice: 0.6217
Epoch 050/100 | Train Loss: 0.6257 | Val Loss: 0.7127 | Val Dice: 0.6468
Epoch 051/100 | Train Loss: 0.6194 | Val Loss: 0.6896 | Val Dice: 0.6604
Epoch 052/100 | Train Loss: 0.6066 | Val Loss: 0.6856 | Val Dice: 0.6512
Epoch 053/100 | Train Loss: 0.6162 | Val Loss: 0.8332 | Val Dice: 0.5655
Epoch 054/100 | Train Loss: 0.6217 | Val Loss: 0.6878 | Val Dice: 0.6471
Epoch 055/100 | Train Loss: 0.5933 | Val Loss: 0.6722 | Val Dice: 0.6093
Epoch 056/100 | Train Loss: 0.5673 | Val Loss: 0.6387 | Val Dice: 0.6533
Epoch 057/100 | Train Loss: 0.5517 | Val Loss: 0.6452 | Val Dice: 0.6575
Epoch 058/100 | Train Loss: 0.5228 | Val Loss: 0.6250 | Val Dice: 0.6559
Epoch 059/100 | Train Loss: 0.5191 | Val Loss: 0.6207 | Val Dice: 0.6892
Epoch 060/100 | Train Loss: 0.5056 | Val Loss: 0.6245 | Val Dice: 0.6689
Epoch 061/100 | Train Loss: 0.5043 | Val Loss: 0.6078 | Val Dice: 0.6775
Epoch 062/100 | Train Loss: 0.4957 | Val Loss: 0.5901 | Val Dice: 0.6831
Epoch 063/100 | Train Loss: 0.4959 | Val Loss: 0.5958 | Val Dice: 0.7189
Epoch 064/100 | Train Loss: 0.4883 | Val Loss: 0.5910 | Val Dice: 0.7024
Epoch 065/100 | Train Loss: 0.4870 | Val Loss: 0.6182 | Val Dice: 0.6992
Epoch 066/100 | Train Loss: 0.4804 | Val Loss: 0.5611 | Val Dice: 0.7007
Epoch 067/100 | Train Loss: 0.4756 | Val Loss: 0.5740 | Val Dice: 0.7444
Epoch 068/100 | Train Loss: 0.4694 | Val Loss: 0.5951 | Val Dice: 0.7277
Epoch 069/100 | Train Loss: 0.4614 | Val Loss: 0.5717 | Val Dice: 0.7216
Epoch 070/100 | Train Loss: 0.4611 | Val Loss: 0.6177 | Val Dice: 0.7224
Epoch 071/100 | Train Loss: 0.4507 | Val Loss: 0.5518 | Val Dice: 0.7517
Epoch 072/100 | Train Loss: 0.4497 | Val Loss: 0.5539 | Val Dice: 0.7409
Epoch 073/100 | Train Loss: 0.4466 | Val Loss: 0.5742 | Val Dice: 0.7513
Epoch 074/100 | Train Loss: 0.4413 | Val Loss: 0.5691 | Val Dice: 0.7454
Epoch 075/100 | Train Loss: 0.4414 | Val Loss: 0.5560 | Val Dice: 0.7360
Epoch 076/100 | Train Loss: 0.4388 | Val Loss: 0.5612 | Val Dice: 0.7309
Epoch 077/100 | Train Loss: 0.4333 | Val Loss: 0.5493 | Val Dice: 0.7183
Epoch 078/100 | Train Loss: 0.4355 | Val Loss: 0.5631 | Val Dice: 0.7590
Epoch 079/100 | Train Loss: 0.4314 | Val Loss: 0.5617 | Val Dice: 0.7545
Epoch 080/100 | Train Loss: 0.4296 | Val Loss: 0.5588 | Val Dice: 0.7415
Epoch 081/100 | Train Loss: 0.4311 | Val Loss: 0.5439 | Val Dice: 0.7215
Epoch 082/100 | Train Loss: 0.4194 | Val Loss: 0.5443 | Val Dice: 0.7522
Epoch 083/100 | Train Loss: 0.4223 | Val Loss: 0.5565 | Val Dice: 0.7550
Epoch 084/100 | Train Loss: 0.4200 | Val Loss: 0.6225 | Val Dice: 0.6933
Epoch 085/100 | Train Loss: 0.4279 | Val Loss: 0.5442 | Val Dice: 0.7585
Epoch 086/100 | Train Loss: 0.4148 | Val Loss: 0.5646 | Val Dice: 0.7311
Epoch 087/100 | Train Loss: 0.4268 | Val Loss: 0.5764 | Val Dice: 0.7533
Epoch 088/100 | Train Loss: 0.4212 | Val Loss: 0.5406 | Val Dice: 0.7253
Early stopping at epoch 88: validation Dice has not improved beyond 0.7590 by more than 0.0010 for 10 consecutive epochs.
