Epoch 001/100 | Train Loss: 1.4262 | Val Loss: 1.2143 | Val Dice: 0.6255
Epoch 002/100 | Train Loss: 1.1779 | Val Loss: 1.0242 | Val Dice: 0.6868
Epoch 003/100 | Train Loss: 0.9900 | Val Loss: 0.8151 | Val Dice: 0.7596
Epoch 004/100 | Train Loss: 0.7975 | Val Loss: 0.6675 | Val Dice: 0.8177
Epoch 005/100 | Train Loss: 0.6633 | Val Loss: 0.5656 | Val Dice: 0.8521
Epoch 006/100 | Train Loss: 0.5703 | Val Loss: 0.5044 | Val Dice: 0.8745
Epoch 007/100 | Train Loss: 0.5104 | Val Loss: 0.4676 | Val Dice: 0.8814
Epoch 008/100 | Train Loss: 0.4801 | Val Loss: 0.4288 | Val Dice: 0.8914
Epoch 009/100 | Train Loss: 0.4481 | Val Loss: 0.4041 | Val Dice: 0.8954
Epoch 010/100 | Train Loss: 0.4221 | Val Loss: 0.3884 | Val Dice: 0.8968
Epoch 011/100 | Train Loss: 0.3955 | Val Loss: 0.3655 | Val Dice: 0.9025
Epoch 012/100 | Train Loss: 0.3753 | Val Loss: 0.3507 | Val Dice: 0.9061
Epoch 013/100 | Train Loss: 0.3598 | Val Loss: 0.3355 | Val Dice: 0.9093
Epoch 014/100 | Train Loss: 0.3423 | Val Loss: 0.3240 | Val Dice: 0.9129
Epoch 015/100 | Train Loss: 0.3291 | Val Loss: 0.3111 | Val Dice: 0.9152
Epoch 016/100 | Train Loss: 0.3262 | Val Loss: 0.3056 | Val Dice: 0.9166
Epoch 017/100 | Train Loss: 0.3018 | Val Loss: 0.2938 | Val Dice: 0.9202
Epoch 018/100 | Train Loss: 0.3027 | Val Loss: 0.2931 | Val Dice: 0.9208
Epoch 019/100 | Train Loss: 0.2870 | Val Loss: 0.2795 | Val Dice: 0.9256
Epoch 020/100 | Train Loss: 0.2819 | Val Loss: 0.2748 | Val Dice: 0.9265
Epoch 021/100 | Train Loss: 0.2668 | Val Loss: 0.2709 | Val Dice: 0.9280
Epoch 022/100 | Train Loss: 0.2576 | Val Loss: 0.2708 | Val Dice: 0.9292
Epoch 023/100 | Train Loss: 0.2548 | Val Loss: 0.2658 | Val Dice: 0.9297
Epoch 024/100 | Train Loss: 0.2463 | Val Loss: 0.2727 | Val Dice: 0.9296
Epoch 025/100 | Train Loss: 0.2437 | Val Loss: 0.2592 | Val Dice: 0.9314
Epoch 026/100 | Train Loss: 0.2390 | Val Loss: 0.2641 | Val Dice: 0.9314
Epoch 027/100 | Train Loss: 0.2341 | Val Loss: 0.2513 | Val Dice: 0.9351
Epoch 028/100 | Train Loss: 0.2251 | Val Loss: 0.2537 | Val Dice: 0.9347
Epoch 029/100 | Train Loss: 0.2170 | Val Loss: 0.2480 | Val Dice: 0.9358
Epoch 030/100 | Train Loss: 0.2153 | Val Loss: 0.2541 | Val Dice: 0.9349
Epoch 031/100 | Train Loss: 0.2142 | Val Loss: 0.2437 | Val Dice: 0.9369
Epoch 032/100 | Train Loss: 0.2099 | Val Loss: 0.2470 | Val Dice: 0.9377
Epoch 033/100 | Train Loss: 0.2039 | Val Loss: 0.2436 | Val Dice: 0.9381
Epoch 034/100 | Train Loss: 0.1999 | Val Loss: 0.2412 | Val Dice: 0.9381
Epoch 035/100 | Train Loss: 0.1984 | Val Loss: 0.2555 | Val Dice: 0.9359
Epoch 036/100 | Train Loss: 0.1959 | Val Loss: 0.2354 | Val Dice: 0.9390
Epoch 037/100 | Train Loss: 0.1914 | Val Loss: 0.2431 | Val Dice: 0.9383
